GENERIC_NAME,standardized_smiles
Acolbifene,CC1=C(c2ccc(O)cc2)[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21
Acrizanib,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(F)(F)F)n(C)n3)c2)ncn1
Adelmidrol,O=C(CCCCCCCC(=O)NCCO)NCCO
Aganepag isopropyl,CCCCC[C@H](O)c1ccc(N2C(=O)CC[C@@H]2CCCc2ccc(C(=O)OC(C)C)s2)cc1
Alflutinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC(F)(F)F)nc1N(C)CCN(C)C
Amtolmetin guacil,Cc1ccc(C(=O)c2ccc(CC(=O)NCC(=O)O)n2C)cc1
APG-1387,CN[C@@H](C)C(=O)N[C@H]1CN(S(=O)(=O)c2cccc(S(=O)(=O)N3CC[C@H]4CC[C@@H](C(=O)NC(c5ccccc5)c5ccccc5)N4C(=O)[C@@H](NC(=O)[C@H](C)NC)C3)c2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O
Artemisone,C[C@H]1[C@H](N2CCS(=O)(=O)CC2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
Atogepant,C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F
Axomadol,COc1cccc([C@]2(O)C[C@@H](O)CC[C@H]2CN(C)C)c1
Baicalein,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12
Bakuchiol,C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C
Batabulin,COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1F
GSK2256098,CONC(=O)c1ccccc1Nc1cc(Nc2cc(C)nn2C(C)C)ncc1Cl
BI 2536,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
TAK-715,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1
GED-0507-34-Levo,CO[C@@H](Cc1ccc(N)cc1)C(=O)O
GSK232802,CC1(C)CC(=C(c2ccc(O)cc2)c2ccc(C(=O)O)cc2)CC(C)(C)C1
CR6086,O=C(O)c1ccc(C2(NC(=O)C3CC4(CCN3Cc3ccc(C(F)(F)F)cc3)CC4)CC2)cc1
OT-730,Cc1cc(O)c(O)cc1C(=O)OC[C@H](CNC(C)(C)CNC(=O)C1CCOC1)OC(=O)C1(C)CC1
HIV Integrase Inhibitor,Cn1c(N2CCCCS2(=O)=O)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O
Buprenorphine hemiadipate,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(OC(=O)CCCCC(=O)O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
Capadenoson,N#Cc1c(N)nc(SCc2csc(-c3ccc(Cl)cc3)n2)c(C#N)c1-c1ccc(OCCO)cc1
Carotegrast methyl,COC(=O)[C@H](Cc1ccc(-n2c(=O)c3cc(N(C)C)ccc3n(C)c2=O)cc1)NC(=O)c1c(Cl)cccc1Cl
Epigallo Catechin Gallate,O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1
Centhaquine,Cc1cccc(N2CCN(CCc3ccc4ccccc4n3)CC2)c1
Ceralifimod,CCCc1ccc(COc2ccc3c(c2)CCC(CN2CC(C(=O)O)C2)=C3C)c(OC)c1
Chiauranib,COc1ccc2c(Oc3ccc4c(C(=O)Nc5ccccc5N)cccc4c3)ccnc2c1
Ciforadenant,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1
Cinaciguat,O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1
TZP-102,CC(C)C[C@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C2CC2)NC[C@@H](C)Oc2ccccc2CC[C@H](C)NC1=O
Dapansutrile,CS(=O)(=O)CCC#N
Deferitrin,C[C@]1(C(=O)O)CSC(c2ccc(O)cc2O)=N1
Delgocitinib,C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2
Denagliptin,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)C(c1ccc(F)cc1)c1ccc(F)cc1
Desidustat,O=C(O)CNC(=O)c1c(O)c2ccccc2n(OCC2CC2)c1=O
Dexisometheptene mucate,CN[C@H](C)CCC=C(C)C
Dezapelisib,Cc1csc2nc([C@H](C)Nc3ncnc4[nH]cnc34)c(-c3cccc(F)c3)c(=O)n12
Diflomotecan,CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1
DAR-0100A,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2
Dimethandrolone Undecanoate,CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@H]3[C@H]([C@@H](C)C[C@]12C)[C@H]1CCC(=O)C=C1C[C@H]3C
Acetyldinaline,Nc1ccc(C(=O)Nc2ccccc2N)cc1
Dirocaftor,C[Si](C)(C)c1cc([Si](C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
Dopastatin,CCCN1C[C@H](CSCC(=O)NCCCC[C@@H](NC(=O)CSC[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(CCC)C2)C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H](CC)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
Dotinurad,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21
Dynorphin,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)O
Ebopiprant,CC(C)[C@H](N)C(=O)OCC[C@H](NC(=O)[C@@H]1SCCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccc(F)cc1
Ecraprost,CCCCC[C@H](O)/C=C/[C@@H]1C(CCCCCCC(=O)OCCCC)=C(OC(=O)CCC)C[C@H]1O
VEGFR2-169,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O
Eltanexor,NC(=O)/C(=C/n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)c1cncnc1
Ensifentrine,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(CCNC(N)=O)c(=O)n1CC2
Esflurbiprofen,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
Tolinapant,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1
Exicorilant,Cn1ncc(S(=O)(=O)N2CC[C@H]3Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)n1
Fasoracetam,O=C1CC[C@H](C(=O)N2CCCCC2)N1
Fenpyroximate,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1
Finerenone,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2
Firsocostat,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1
Fisogatinib,C=CC(=O)N[C@H]1CCOC[C@H]1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1
Fluorocyclopentenylcytosine,Nc1ccn([C@@H]2C(F)=C(CO)[C@@H](O)[C@H]2O)c(=O)n1
Fonadelpar,Cc1cc2c(CCc3sc(-c4ccc(C(F)(F)F)cc4)nc3C(C)C)noc2cc1OCC(=O)O
Foscarbidopa,C[C@@](Cc1ccc(OP(=O)(O)O)c(O)c1)(NN)C(=O)O
Foslinanib,COc1ccc2[nH]c(-c3cccc(F)c3)cc(=O)c2c1OP(=O)(O)O
Ganaplacide,CC1(C)c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)cc3)n2CCN1C(=O)CN
AIM-102,N[C@H](CC1CCCCC1)C(=O)N[C@H](CCC(=O)O)C(=O)NCC(=O)O
ABH001,O=C1COC(=O)CO1
CXD101,Cc1nn(C)cc1CN1CCC(c2ccc(C(=O)Nc3ccccc3N)cc2)CC1
Hemoporfin,CC1=C(CCC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C(C)O)C(C)=C4C(C)O)c(C)c3CCC(=O)O
Hetrombopag,CC1=NN(c2ccc3c(c2)CCCC3)C(=O)/C1=N\Nc1cccc(-c2ccc(C(=O)O)o2)c1O
HQP1351,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1
PEN-866,CCc1c2c(nc3ccc(OC(=O)N4CCC(CCn5ccc6cc(-n7c(-c8cc(C(C)C)c(O)cc8O)n[nH]c7=O)ccc65)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
C-peptide,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(=O)O)C(C)C)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)O
Ibezapolstat,O=c1nc(NCc2ccc(Cl)c(Cl)c2)[nH]c2ncn(CCN3CCOCC3)c12
Ifidancitinib,COc1cc(Nc2ncc(C)c(Nc3ccc4oc(=O)[nH]c4c3)n2)cc(C)c1F
Imaradenant,Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(Cl)n1
Tovinontrine,C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1cn2c(C3CCOCC3)ncc2c(=O)[nH]1
Imidazole-4-carboxylic acid,O=C(O)c1c[nH]cn1
Iptacopan,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1
"Isoquinoline, 7-(2-(3,6-dihydro-4-(3-(trifluoromethyl)phenyl)-1(2h)-pyridinyl)ethyl)-",FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccncc4c3)CC2)c1
Ispronicline,CN[C@@H](C)C/C=C/c1cncc(OC(C)C)c1
Janagliflozin,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4C[C@@H]5C[C@@H]5C4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
Ladarixin,C[C@@H](C(=O)NS(C)(=O)=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1
Ladostigil,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21
Landipirdine,NC(=O)NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21
Lapaquistat,COc1cccc([C@H]2O[C@H](CC(=O)N3CCC(CC(=O)O)CC3)C(=O)N(CC(C)(C)CO)c3ccc(Cl)cc32)c1OC
Lazertinib,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1
Leniolisib,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
Lerociclib,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1
Levonadifloxacin,C[C@H]1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
Lonaprisan,CC(=O)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1
Lunasine,COc1c2c([n+](C)c3c(OC)cccc13)O[C@@H](C(C)C)C2
Maralixibat,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O
Masilukast,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NC[C@H](C)CC(F)(F)F)cc12
Mavelertinib,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F
Mesdopetam,CCCNCCOc1cc(F)cc(S(C)(=O)=O)c1
NSI-189,CC(C)CCNc1ncccc1C(=O)N1CCN(Cc2ccccc2)CC1
Methfuroxam,Cc1oc(C)c(C(=O)Nc2ccccc2)c1C
Milciclib Maleate,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2
Milvexian,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O
Miricorilant,O=c1[nH]c(=O)c(Cc2cccc(C(F)(F)F)c2)c([C@H]2CC[C@H](c3ccccc3)CC2)[nH]1
Mitapivat,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1
Modipafant,CCOC(=O)C1=C(c2ccc(-n3c(C)nc4cnccc43)cc2)NC(C)=C(C(=O)Nc2ccccn2)[C@H]1c1ccccc1Cl
Modithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@]2(C)C[C@@H](C)/C(=N\C(C)=O)[C@H](C)[C@@H](OC/C(=N\OCc3ccc(-n4cccn4)nc3)CO2)[C@]1(C)O
Molibresib,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
BMS-813160,CC(=O)N[C@@H]1C[C@H](NC(C)(C)C)CC[C@@H]1N1CC[C@H](Nc2ncnc3cc(C(C)(C)C)nn23)C1=O
Apinocaltamide,N#Cc1ccc(Cn2ccc(NC(=O)Cc3ccc(C4(C(F)(F)F)CC4)cc3)n2)nc1
CC-11050,CCOc1cc([C@@H](CS(C)(=O)=O)N2Cc3cccc(NC(=O)C4CC4)c3C2=O)ccc1OC
TBA-7371,COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C
MK-0773,CN1C(=O)C(F)=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](C(=O)NCc5nc6ncccc6[nH]5)CC[C@H]4[C@@H]3CC[C@@H]12
Nafithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2[C@H](/C(N)=N/O[C@@H](C)c3nnc(-c4ccccn4)s3)C(=O)O[C@@]21C
Naphthoquine,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)c2c(c1O)CCCC2
Nazartinib,Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1
Nedisertib,COc1ccc([C@@H](O)c2cc(-c3ncnc4cc(N5CCOCC5)ccc34)c(F)cc2Cl)nn1
Nemiralisib,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1
Nevanimibe,CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccc(N(C)C)cc2)CCCC1
Nidufexor,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2
Ningetinib,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C
Nolasiban,CO/N=C1/C[C@@H](CO)N(C(=O)c2ccc(-c3ccccc3C)cc2)C1
norUrsodeoxycholic acid,C[C@H](CC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
Odevixibat,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(=O)O)c3ccc(O)cc3)cc2S(=O)(=O)N1
Olacaftor,CC(C)COc1cc(F)cc(-c2ccc(C(=O)NS(=O)(=O)c3ccccc3)c(N3C[C@@H](C)CC3(C)C)n2)c1
Olaparib-bodipy FL,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)=[N+]1[B-]2(F)F
Olodanrigan,COc1ccc2c(c1OCc1ccccc1)C[C@@H](C(=O)O)N(C(=O)C(c1ccccc1)c1ccccc1)C2
Olutasidenib,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O
Opiranserin,CCCCOc1c(OC)cc(C(=O)NCC2(N(C)C)CCOCC2)cc1OC
Orelabrutinib,C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1
Osalmid,O=C(Nc1ccc(O)cc1)c1ccccc1O
Osoresnontrine,O=c1[nH]c(Cc2ccccn2)nc2c1cnn2C1CCOCC1
Oxymatrine,O=C1CCC[C@@H]2[C@H]3CCC[N@+]4([O-])CCC[C@@H](CN12)[C@@H]34
Paltusotine,N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O
Pecavaptan,C[C@H](O)c1nc(Cn2nc(-c3ccc(Cl)cc3)n(C[C@H](O)C(F)(F)F)c2=O)nn1-c1cccc(Cl)c1
Pelcitoclax,Cc1c(S(C)(=O)=O)c(-c2cc(F)cc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(C(=O)OCCCP(=O)(O)O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C(C)C
"Penequinine, Penehyclidine",OC(COC1CN2CCC1CC2)(c1ccccc1)C1CCCC1
Peoniflorin,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DAPTA,C[C@@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O
Peretinoin,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C(=O)O
Pexiganan,CC[C@H](C)[C@H](NC(=O)CN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[C@@H](C)CC)C(C)C
Pexmetinib,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1
HSK-3486,CC(C)c1cccc([C@H](C)C2CC2)c1O
IPI-549,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1
Florzolotau F-18,CNc1ccc(/C=C/C=C/c2nc3ccc(OCC(O)C[18F])cc3s2)cn1
Poseltinib,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1
Praliciguat,OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F
Preimplantation factor,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](N)CCSC)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O
BP-14979,COCCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(C#N)c3)CC2)CC1
TAK-653,CC1=CN2CCS(=O)(=O)N=C2C(c2ccc(OC3CCCCC3)cc2)=N1
Xevinapant,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O
Racemetyrosine,CC(N)(Cc1ccc(O)cc1)C(=O)O
Revaprazan,Cc1nc(Nc2ccc(F)cc2)nc(N2CCc3ccccc3C2C)c1C
Rezafungin,CCCCCOc1ccc(-c2ccc(-c3ccc(/C(O)=N/[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)/N=C(/O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)/N=C(/O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)/N=C(/O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)/N=C\4O)cc3)cc2)cc1
TNP-2092,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCC(N(C)C6([C@@H]7CCN(c8c(F)cn9c(=O)c(C(=O)O)cc(C%10CC%10)c9c8C)C7)CC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@H]1C
Rivenprost,COCc1cccc(C[C@H](O)/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCSCCCC(=O)OC)c1
GSK-2981278,CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(OCC3CCOCC3)c(CO)c2)cc1
Rovazolac,CCOC(=O)Cn1nc(C(F)(F)F)cc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1
S-777469,CCc1c(C)cc(C(=O)NC2(C(=O)O)CCCCC2)c(=O)n1Cc1ccc(F)cc1
Satoreotide tetraxetan,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2ccc(NC(N)=O)cc2)NC(=O)[C@H](Cc2ccc(NC(=O)[C@@H]3CC(=O)NC(=O)N3)cc2)NC(=O)[C@H](NC(=O)[C@H](Cc2ccc(Cl)cc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSC[C@@H](C(=O)N[C@H](Cc2ccc(O)cc2)C(N)=O)NC1=O
Selgantolimod,CCCC[C@@](C)(CO)Nc1nc(N)nc2cc(F)cnc12
Selodenoson,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O
Sepiapterin,C[C@H](O)C(=O)C1=Nc2c([nH]c(N)nc2=O)NC1
Simurosertib,Cc1n[nH]cc1-c1cc2nc([C@@H]3CC4CCN3CC4)[nH]c(=O)c2s1
Siremadlin,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1
Sodelglitazar,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O
Sonlicromanol,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N[C@@H]1CCCNC1)O2
Sulopenem etzadroxil,CCC(CC)C(=O)OCOC(=O)C1=C(S[C@H]2CC[S@@+]([O-])C2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12
Taniborbactam,NCCN[C@H]1CC[C@H](CC(=O)N[C@H]2Cc3cccc(C(=O)O)c3OB2O)CC1
ABX-196,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CNC(C)=O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
Tropifexor,O=C(O)c1cc(F)c2nc(N3[C@@H]4CC[C@H]3C[C@@H](OCc3c(-c5ccccc5OC(F)(F)F)noc3C3CC3)C4)sc2c1
Tulrampator,O=C1c2cc3nnn(CCc4cccc(F)c4)c(=O)c3cc2OCN1C1CC1
Uracil C-13,O=c1cc[nH][13c](=O)[nH]1
Veliflapon,O=C(O)[C@@H](c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCC1
Velsecorat,C[C@@H](NC(=O)C(C)(F)F)[C@@H](Oc1ccc2c(cnn2-c2cccc(C(=O)N[C@@H]3CCOC3)c2)c1)c1ccc2c(c1)OCCO2
Vicagrel,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sc(OC(C)=O)cc2C1
Volinanserin,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC
